iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_neighbours,layer_interdependences_religion,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_neighbours,layer_polarisations_religion,layer_polarisations_cultural
84,-0.02264737283267169,20,1676,1668,0.5108256237659907,0.19194891654301174,0.19315092711612203,0.22448537435169202,0.17229769982446583,0.2181170821647117,0.3391524193743564,0.3391524193743564,0.3391524193743564,0.3391524193743564,0.3391524193743564
85,-0.07818938012525993,20,1693,1684,0.5108256237659907,0.19430217599470434,0.19242972036785927,0.2219423590976932,0.1737393284636429,0.2175864160761039,0.3662511749446196,0.3662511749446196,0.3662511749446196,0.3662511749446196,0.3662511749446196
86,-0.08548366917071348,21,1709,1699,0.5447271754416719,0.19402662532770937,0.19337469839075447,0.2237488602131229,0.17284929063994026,0.21600052542847623,0.3903209232816311,0.3903209232816311,0.3903209232816311,0.3903209232816311,0.3903209232816311
87,-0.10882784689518321,21,1724,1716,0.5447271754416719,0.1923348203066384,0.1945400328027035,0.22278299357960746,0.17282473575785434,0.2175174175532023,0.3577422282591626,0.3577422282591626,0.3577422282591626,0.3577422282591626,0.3577422282591626
88,-0.047925022483568266,21,1741,1731,0.5447271754416719,0.19427063609488177,0.1934280520504507,0.22368118812552087,0.17023899162762948,0.21838113210152266,0.38427678827274453,0.38427678827274453,0.38427678827274453,0.38427678827274453,0.38427678827274453
89,-0.1509279824765934,21,1754,1746,0.5447271754416719,0.19445248342228028,0.1934639522585273,0.22313313522881087,0.17067788248973914,0.21827254660064419,0.38381404703589567,0.38381404703589567,0.38381404703589567,0.38381404703589567,0.38381404703589567
90,0.04686144531196525,21,1768,1763,0.5447271754416719,0.19489293906399568,0.19334717945310828,0.22271757040256365,0.17119284792325987,0.2178494631570727,0.39755528770011056,0.39755528770011056,0.39755528770011056,0.39755528770011056,0.39755528770011056
91,-0.12286993901905369,21,1781,1780,0.5447271754416719,0.1940372841679698,0.19267496019558586,0.22131312313202767,0.17093325144941418,0.2210413810550055,0.37340840025357686,0.37340840025357686,0.37340840025357686,0.37340840025357686,0.37340840025357686
92,-0.027639097818640997,21,1797,1796,0.5447271754416719,0.19374873036158807,0.1927774207506063,0.22083746047909922,0.17180621708658547,0.22083017132212335,0.35903808764015854,0.35903808764015854,0.35903808764015854,0.35903808764015854,0.35903808764015854
93,-0.11047115245073297,21,1812,1811,0.5447271754416719,0.19802388021196446,0.1925094353725886,0.22180718372982258,0.17070152519999898,0.2169579754856247,0.38033773481075417,0.38033773481075417,0.38033773481075417,0.38033773481075417,0.38033773481075417
94,0.025407136502248785,21,1827,1826,0.5447271754416719,0.19756874349014042,0.1925087985155302,0.22183568246760718,0.1716032025452054,0.21648357298152185,0.356966892429435,0.356966892429435,0.356966892429435,0.356966892429435,0.356966892429435
95,-0.06973204133108749,21,1842,1841,0.5447271754416719,0.19729140854123947,0.1923740380804211,0.21850704499745313,0.1728775870995999,0.21894992128127858,0.3717928676569187,0.3717928676569187,0.3717928676569187,0.3717928676569187,0.3717928676569187
96,0.025196191795480712,21,1859,1856,0.5447271754416719,0.19752451425181713,0.19169154922429113,0.21872751907725382,0.17164959852440156,0.22040681892223837,0.39331470149687303,0.39331470149687303,0.39331470149687303,0.39331470149687303,0.39331470149687303
97,-0.0933908538528681,21,1875,1870,0.5447271754416719,0.19930714347402304,0.1908230371600035,0.21984998454746385,0.17230917540683233,0.2177106594116771,0.41344876676171655,0.41344876676171655,0.41344876676171655,0.41344876676171655,0.41344876676171655
98,-0.032535949037108394,21,1891,1884,0.5447271754416719,0.19930746205914723,0.19082477454215624,0.2198107587628949,0.17232845436061095,0.21772855027518898,0.4145800540471832,0.4145800540471832,0.4145800540471832,0.4145800540471832,0.4145800540471832
99,-0.04407464163940746,21,1906,1898,0.5447271754416719,0.19920100952620176,0.1910129410064717,0.2202593064255931,0.17033265215634796,0.21919409088538105,0.4713401249426107,0.4713401249426107,0.4713401249426107,0.4713401249426107,0.4713401249426107
100,-0.041514961434026984,21,1922,1913,0.5447271754416719,0.19897587635878708,0.19103619458100185,0.22103445451681564,0.170561065801879,0.21839240874151108,0.4498284744521687,0.4498284744521687,0.4498284744521687,0.4498284744521687,0.4498284744521687
