iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
89,0.01793098288797782,76,739,1653,1.4271163556401458,0.2515801147086424,0.24818734478738766,0.24779405318588246,0.2524384873180852,0.36902448191495774,0.36902448191495774,0.36902448191495774,0.36902448191495774
90,-0.05174080325479005,76,744,1662,1.4271163556401458,0.2546443610831438,0.2478533293307119,0.24743442907012905,0.2500678805160151,0.3505261764290007,0.3505261764290007,0.3505261764290007,0.3505261764290007
91,-0.0014287557757129677,76,747,1671,1.4271163556401458,0.2548429864719884,0.24685562281808746,0.2488911935599658,0.24941019714995674,0.3302653078434061,0.3302653078434061,0.3302653078434061,0.3302653078434061
92,-0.004769732325866869,76,753,1683,1.4271163556401458,0.25394417987986856,0.24703821997257075,0.24816733588562878,0.25085026426192564,0.3232336727193824,0.3232336727193824,0.3232336727193824,0.3232336727193824
93,0.068850812016878,76,760,1694,1.4271163556401458,0.25419310114704513,0.2460477808760186,0.24825681942915234,0.2515022985477828,0.33162455254805934,0.33162455254805934,0.33162455254805934,0.33162455254805934
94,0.024530362521278402,76,764,1704,1.4271163556401458,0.25254856630289924,0.2457173443090445,0.24875298327984097,0.2529811061082146,0.33318954569408765,0.33318954569408765,0.33318954569408765,0.33318954569408765
95,0.1321786023399997,76,774,1718,1.4271163556401458,0.25246997507962693,0.24544988779645477,0.24662982943388842,0.2554503076900265,0.32996356640990093,0.32996356640990093,0.32996356640990093,0.32996356640990093
96,0.02309610730854879,76,777,1727,1.4271163556401458,0.2500658873642403,0.24681788998532878,0.2474875970872805,0.25562862556315125,0.3200895193953386,0.3200895193953386,0.3200895193953386,0.3200895193953386
97,0.029952660438752922,76,782,1737,1.4271163556401458,0.25010252961637447,0.24755600467469938,0.24785588705353076,0.2544855786553963,0.3133943271883532,0.3133943271883532,0.3133943271883532,0.3133943271883532
98,0.07426851550654343,77,786,1749,1.4696759700589417,0.25018310518138126,0.24920311599395017,0.24813176186559477,0.25248201695907363,0.3299856748286553,0.3299856748286553,0.3299856748286553,0.3299856748286553
99,0.12812150402934452,77,792,1757,1.4696759700589417,0.24932093816195794,0.24877128355118971,0.25001201256751815,0.25189576571933503,0.3201323122015444,0.3201323122015444,0.3201323122015444,0.3201323122015444
100,0.06729449260394066,77,794,1770,1.4696759700589417,0.24846736567825856,0.24863809152494953,0.24991439556543013,0.2529801472313643,0.3153871893637143,0.3153871893637143,0.3153871893637143,0.3153871893637143
